Tanggal,Konser
6/14/2023,The Rain
6/15/2023,Feel Koplo
6/15/2023,Weird Genius with Prince Husein & Alsa
6/15/2023,Diskopantera
6/16/2023,Tipe X
6/16/2023,Momonon
6/16/2023,Orind
6/17/2023,Kangen Band
6/17/2023,Radja
6/17/2023,Bella Queen
6/18/2023,Tony Q Rastafara
6/18/2023,Endank Soekamti
6/18/2023,The Hydrant
6/19/2023,Rizky Febian
6/19/2023,Mahalini
6/19/2023,Pitu
6/20/2023,Tiara Andini
6/20/2023,Raissa Anggiani (Rai)
6/20/2023,Suisei
6/21/2023,Virgoun
6/21/2023,Fiersa Besari
6/21/2023,Caecillia
6/22/2023,Fourtwnty
6/22/2023,Budi Doremi
6/22/2023,Lightcraft
6/23/2023,Superman Is Dead
6/23/2023,The Jansen
6/23/2023,Prison of Blues
6/24/2023,Wali
6/24/2023,Ifan Seventeen
6/24/2023,Drive
6/25/2023,Padi Reborn
6/25/2023,Ungu
6/25/2023,Nania
6/26/2023,Maliq & D'Essentials
6/26/2023,Lyodra
6/26/2023,Ghea Indrawari
6/27/2023,Slank
6/27/2023,Respect
6/27/2023,Rachun
6/28/2023,Malam Takbiran
6/28/2023,Tidak ada Konser Hari Ini
6/29/2023,Kahitna
6/29/2023,Soegi Bornean
6/29/2023,Kelljo
6/30/2023,Pamungkas
6/30/2023,Bilal Indrajaya
6/30/2023,Manja
7/1/2023,Armada
7/1/2023,Repvblik
7/1/2023,Fia
7/2/2023,Stand Here Alone
7/2/2023,Last Child
7/2/2023,Stereo Wall
7/3/2023,Guyon Waton
7/3/2023,Aftershine
7/3/2023,Kasino Brothers
7/4/2023,For Revenge
7/4/2023,Nadin Amizah
7/4/2023,The Jazzmint
7/5/2023,Raisa
7/5/2023,Ardhito Pramono
7/5/2023,Annisya
7/6/2023,Ndarboy Genk
7/6/2023,Pendhoza
7/6/2023,TTM Akustik
7/7/2023,JKT48
7/7/2023,TBA X Unity
7/7/2023,2nd Chance
7/8/2023,Tony Q Rastafara
7/8/2023,Dhyo Haw
7/8/2023,Foru
7/8/2023,Slurr
7/9/2023,The Sigit
7/9/2023,The Adams
7/9/2023,The Upstairs
7/10/2023,D'Masiv
7/10/2023,Juicy Luicy
7/10/2023,Semenjana
7/11/2023,Setia Band
7/11/2023,Ada Band
7/11/2023,Puff Punch
7/12/2023,Parade Hujan
7/12/2023,Feby Putri
7/12/2023,Skastra
7/13/2023,Souljah
7/13/2023,Coconuttreez
7/13/2023,Gangsta Rasta
7/14/2023,Tipe X
7/14/2023,Feel Koplo
7/14/2023,El Corona
7/15/2023,Mr. Jono Joni
7/15/2023,NDX AKA
7/15/2023,Orkes Nunung CS
7/15/2023,Kotak
7/15/2023,V.O.B
